head;comments_count;category;views;link
«Это унижает всех женщин». Бизнес-леди требует у Центризбиркома вынести Лукашенко предупреждение;238;Точка зрения;207986;https://lady.tut.by/news/columnist/686904.html
Светлана Тихановская выступила с открытым письмом;249;Деньги и власть;289673;https://news.tut.by/economics/686801.html
Как сейчас должны ставить диагноз COVID-19, если есть симптомы и на КТ — вирусная пневмония;12;Общество;34943;https://news.tut.by/society/687066.html
Виталий Гурков жестко отреагировал на высказывания белорусских гребчих (про язык и пикеты);157;Околоспорт;84638;https://sport.tut.by/news/aboutsport/686993.html
Претендент в президенты Виктор Бабарико представил Декларацию о честных выборах;238;Выборы;310048;https://news.tut.by/elections/686782.html
Бабарико: Мы ожидали провокации, но не ожидали, что они будут на столь ранней стадии и столь циничны;317;Выборы;441345;https://news.tut.by/elections/686723.html
«На двоих с мужем доход — 2,5 тысячи рублей. Пол мою руками, стираю на даче». Антикризисный бюджет;148;Личный счет;86441;https://finance.tut.by/news686882.html
Бакиев простил народ Кыргызстана. В ответ ему предложили покинуть Беларусь и «вернуть награбленное»;134;Деньги и власть;154343;https://news.tut.by/economics/686947.html
На украинско-белорусской границе открыты пять пунктов пропуска. Можно ли белорусам в Украину?;0;Общество;41485;https://news.tut.by/society/687083.html
«Что творится с обезумевшим электоратом сомнительного кандидата?» Чиновники и сенаторы — о событиях в Гродно;482;Выборы;396833;https://news.tut.by/elections/686734.html
В 70 лет выглядит как юная манекенщица. Секреты питания и ухода за собой вечно молодой Веры Вонг;7;Тело;34360;https://lady.tut.by/news/body/687097.html
Политолог: МВФ не даст денег в случае радикального подавления массовых протестов;63;Деньги и власть;52013;https://news.tut.by/economics/686872.html
В Беларуси 3600 детей с положительным тестом на COVID-19;46;Общество;127219;https://news.tut.by/society/686964.html
Надо ли «гонять глистов» для профилактики? Отвечает врач-инфекционист;15;Болезни;55450;https://health.tut.by/news/disease/687039.html
В Жодино следователи выясняют обстоятельства жестокого убийства;6;Происшествия;60490;https://news.tut.by/accidents/687018.html
«Мои соцсети завалили угрозами». Парень утверждает, что после пикета в Гродно его приняли за милиционера;207;Общество;122205;https://news.tut.by/society/686953.html
«Зарплата маленькая, ответственность большая, собственность — ничья». Бабарико о том, что не так с экономикой;252;Деньги и власть;219625;https://news.tut.by/economics/686790.html
«У нас не было карантина». Российские вирусологи объяснили причины длительного нахождения на плато;30;В мире;57958;https://news.tut.by/world/687000.html
У кондуктора украли талонов на 39 копеек, а автотранс взыскал с нее 600 рублей. Прокуратура не поняла;71;Публичный счет;132612;https://finance.tut.by/news686918.html
«Пусть российские „мамки“ поддержат». Зачем власти хотят перевести счета госпредприятий в госбанки;150;Деньги и власть;125855;https://news.tut.by/economics/686938.html
Помните пенсионера-активиста из Бобруйска, осужденного за наркотики? Суд рассмотрел его жалобу на приговор;14;Общество;20248;https://news.tut.by/society/687112.html
В Минздраве пояснили, когда можно закрывать больничный при легком течении COVID-19;28;Общество;101447;https://news.tut.by/society/686965.html
На торгах 2 июня российский рубль заметно окреп;10;Деньги и власть;41124;https://news.tut.by/economics/687053.html
Бухгалтеру и фармацевту — нет, водителю — по ситуации. Кому положены надбавки за COVID-19, а кому — нет;11;Публичный счет;19821;https://finance.tut.by/news686829.html
Отражающий мечты кандидат, заявление Лукашенко, обращение в ЦИК и ЧП с подростками — все за вчера;6;Общество;64115;https://news.tut.by/society/686973.html
В России назвали условия, при которых страна может применить ядерное оружие;52;В мире;19367;https://news.tut.by/world/687115.html
Животные вымирают, как динозавры. Ученые говорят, что это угрожает цивилизации;20;В мире;12242;https://news.tut.by/world/687133.html
«Это задевает меня лично. В Беларуси мама, ей 67». Мнение о разнице отношения к вирусу в Турции и Беларуси;76;Наши за границей;57799;https://lady.tut.by/news/our-overseas/686951.html
Это и правда квартиры белорусов? Смотрите, в каких ярких интерьерах живут их хозяева;14;Интерьер, дизайн, ремонт;30939;https://realty.tut.by/news/new-settler/687059.html
Представитель МВД в эфире БТ: обстановка накаляется перед выборами, у нас достаточно сил и средств;249;Общество;182521;https://news.tut.by/society/686794.html
«Компаниям не придется увольнять». Государство подкинет работягам до «минималки»;29;Публичный счет;39080;https://finance.tut.by/news687043.html
В Гомельской области пассажирка ударила таксиста молотком по голове;12;Происшествия;24155;https://auto.tut.by/news/accidents/687094.html
В Беларуси 42 556 зараженных коронавирусом. Прирост за сутки — 898 случаев;125;Общество;201693;https://news.tut.by/society/686770.html
Как может выглядеть вторая волна коронавируса — поясняет профессор из университета в Шотландии;14;Наука;40765;https://42.tut.by/687029
Депутаты: Недопустимо использование формата сбора подписей в целях манипулирования сознанием людей;286;Выборы;102540;https://news.tut.by/elections/686943.html
Претенденты на президентское кресло отреагировали на высказывания Лукашенко;147;Выборы;289924;https://news.tut.by/elections/686705.html
Умер бывший игрок БАТЭ, «Немана» и «Сморгони» Геннадий Мардас;0;Футбол;40286;https://sport.tut.by/news/football/687026.html
Грубят, возят по бешеным тарифам. Транспортники проверили таксистов Минска и области;20;Офтоп;17641;https://auto.tut.by/news/offtop/687105.html
Лукашенко высказался о претендентах: обвинил Бабарико, намекнул на Цепкало, назвал Тихановского «шелудивым»;610;Выборы;333754;https://news.tut.by/elections/686640.html
МВД прокомментировало задержание Тихановского: пострадали два милиционера, возбуждено уголовное дело;346;Общество;257142;https://news.tut.by/society/686697.html
Власти решили строить исторический музей в самом центре Минска. Последнее слово — за Лукашенко;29;Строительство;34691;https://realty.tut.by/news/building/684524.html
В Беларуси 41 658 зараженных коронавирусом. Прирост за сутки составил 894 новых случая;247;Общество;255717;https://news.tut.by/society/686716.html
Способы повышения кликабельности текста;0;Новости компаний;43360;https://news.tut.by/press/564945.html
